tconst,numVotes,averageRating
tt0002628,40,5.8
tt0002639,111,6.2
tt0002646,232,6.9
tt0002656,10,6.2
tt0002658,22,3.9
tt0002659,602,5.4
tt0002663,266,6.1
tt0002669,15,6.7
tt0002687,9,7.8
tt0002702,13,5
tt0002718,10,4.1
tt0002719,55,5.8
tt0002736,5,6.6
tt0002745,11,4
tt0002753,5,6.2
tt0002755,17,4.6
tt0002759,13,6.3
tt0002761,9,4.4
tt0002767,30,5.7
tt0002784,26,5.2
tt0002795,394,6.2
tt0002801,8,5.9
tt0002813,150,5.4
tt0002815,10,4.1
tt0002816,65,5.8
tt0002822,19,4.2
tt0002829,9,5
tt0002832,8,7.5
tt0002844,1565,6.9
tt0002847,11,4.6
tt0002848,9,4.7
tt0002850,8,6
tt0002851,249,5.4
tt0002853,13,4.6
tt0002863,27,6.8
tt0002867,81,5.6
tt0002885,81,6
tt0002893,8,6
tt0002894,5,7
tt0002897,23,5.4
tt0002898,67,7.1
tt0002902,10,4.8
tt0002910,55,6.1
tt0002917,21,6
tt0002919,42,4.8
tt0002921,8,3.9
tt0002922,26,5.2
tt0002956,29,5.1
tt0002973,6,5.2
tt0002983,208,6.1
tt0002985,202,6.2
tt0002990,105,5.7
tt0002996,11,4.5
tt0002999,9,6.1
tt0003001,9,5.1
tt0003006,5,6.2
tt0003014,679,7.2
tt0003015,24,5
tt0003016,49,5.6
tt0003022,21,5.9
tt0003035,5,6.2
tt0003037,1063,6.8
tt0003044,12,5.3
tt0003046,12,5.8
tt0003054,7,5.7
tt0003059,25,5.7
tt0003065,42,5.8
tt0003073,13,4.9
tt0003075,5,6.2
tt0003078,10,6.7
tt0003093,8,6.2
tt0003102,66,6.6
tt0003104,206,5.9
tt0003106,45,5.8
tt0003112,6,6.7
tt0003131,76,6.8
tt0003133,7,6.3
tt0003156,9,6.1
tt0003158,9,6.4
tt0003159,15,6.1
tt0003165,809,6.9
tt0003167,107,5.9
tt0003170,559,6.5
tt0003177,102,4.6
tt0003212,13,5.2
tt0003214,153,6.7
tt0003215,6,7.3
tt0003226,5,4.8
tt0003235,7,5.7
tt0003238,96,5.4
tt0003241,6,5
tt0003249,7,6.3
tt0003265,45,4.8
tt0003278,9,7.4
tt0003288,12,6.1
tt0003301,16,6.3
